citrus fruit,semi-finished bread,margarine,ready soups,
tropical fruit,yogurt,coffee,
whole milk,
pip fruit,yogurt,cream cheese,meat spreads,
other vegetables,whole milk,condensed milk,long life bakery product,
whole milk,butter,yogurt,rice,abrasive cleaner,
rolls/buns,
other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),
pot plants,
whole milk,cereals,
tropical fruit,other vegetables,white bread,bottled water,chocolate,
citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,
beef,
frankfurter,rolls/buns,soda,
chicken,tropical fruit,
butter,sugar,fruit/vegetable juice,newspapers,
fruit/vegetable juice,
packaged fruit/vegetables,
chocolate,
specialty bar,
other vegetables,
butter milk,pastry,
whole milk,
tropical fruit,cream cheese,processed cheese,detergent,newspapers,
tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,
bottled water,canned beer,
yogurt,
sausage,rolls/buns,soda,chocolate,
other vegetables,
brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags,
yogurt,beverages,bottled water,specialty bar,
hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins,
root vegetables,other vegetables,whole milk,beverages,sugar,
pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner,
beef,grapes,detergent,
pastry,soda,
fruit/vegetable juice,
canned beer,
root vegetables,other vegetables,whole milk,dessert,
citrus fruit,zwieback,newspapers,
sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags,
tropical fruit,root vegetables,whole milk,yogurt,domestic eggs,brown bread,pastry,sugar,cereals,coffee,soda,waffles,candy,
berries,yogurt,
canned beer,
butter milk,yogurt,cream cheese,spread cheese,rolls/buns,bottled water,soda,newspapers,
coffee,
pastry,bottled water,
rolls/buns,
misc. beverages,
root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product,
sausage,rolls/buns,cat food,newspapers,
canned beer,
ham,grapes,other vegetables,whole milk,
turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice,
whole milk,yogurt,processed cheese,pickled vegetables,soda,
whole milk,curd,yogurt,pastry,
packaged fruit/vegetables,brown bread,canned beer,
rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins,
ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food,
rolls/buns,pastry,sugar,
other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent,
sausage,pastry,
sausage,beef,whole milk,
frankfurter,tropical fruit,rolls/buns,brown bread,sugar,
rolls/buns,pastry,soda,
whole milk,
curd cheese,coffee,
red/blush wine,newspapers,
sausage,whole milk,curd,
tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate,
red/blush wine,
whole milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds),
frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers,
whole milk,meat spreads,soda,
frozen potato products,
other vegetables,whole milk,rolls/buns,sugar,
citrus fruit,whole milk,curd,butter milk,pastry,
flour,salt,bottled water,fruit/vegetable juice,bottled beer,
sugar,bottled water,soda,bottled beer,
frozen meals,coffee,
chocolate,
root vegetables,whole milk,frozen vegetables,domestic eggs,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner,
root vegetables,onions,hard cheese,frozen vegetables,
herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles,
bottled water,
sausage,root vegetables,onions,yogurt,rolls/buns,brandy,detergent,
coffee,newspapers,
pork,other vegetables,whipped/sour cream,
berries,yogurt,
soda,
berries,
fruit/vegetable juice,salty snack,candles,
citrus fruit,butter milk,yogurt,cream cheese,
pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate,
detergent,
grapes,photo/film,
sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags,
chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil,detergent,
whole milk,yogurt,brown bread,
citrus fruit,tropical fruit,